ROI;NUM_NETWORKS;Hemisphere;RSN_Label;ROI_Label;X;Y;Z
1;17Networks;LH;VisCent;Striate1;-4;-90;-12
2;17Networks;LH;VisCent;Striate2;-10;-98;-12
3;17Networks;LH;VisCent;Striate3;-8;-94;-2
4;17Networks;LH;VisCent;Striate4;-6;-104;-2
5;17Networks;LH;VisCent;ExStr1;-34;-52;-18
6;17Networks;LH;VisCent;ExStr2;-28;-64;-12
7;17Networks;LH;VisCent;ExStr3;-34;-68;-16
8;17Networks;LH;VisCent;ExStr4;-36;-80;-14
9;17Networks;LH;VisCent;ExStr5;-26;-80;-14
10;17Networks;LH;VisCent;ExStr6;-22;-74;-8
11;17Networks;LH;VisCent;ExStr7;-44;-72;-10
12;17Networks;LH;VisCent;ExStr8;-20;-88;-16
13;17Networks;LH;VisCent;ExStr9;-42;-84;-14
14;17Networks;LH;VisCent;ExStr10;-12;-84;-14
15;17Networks;LH;VisCent;ExStr11;-30;-92;-18
16;17Networks;LH;VisCent;ExStr12;-34;-92;-10
17;17Networks;LH;VisCent;ExStr13;-20;-100;-12
18;17Networks;LH;VisCent;ExStr14;-46;-82;-2
19;17Networks;LH;VisCent;ExStr15;-30;-96;-2
20;17Networks;LH;VisCent;ExStr16;-36;-90;0
21;17Networks;LH;VisCent;ExStr17;-44;-70;6
22;17Networks;LH;VisCent;ExStr18;-48;-78;8
23;17Networks;LH;VisCent;ExStr19;-18;-102;2
24;17Networks;LH;VisCent;ExStr20;-44;-86;10
25;17Networks;LH;VisCent;ExStr21;-24;-96;8
26;17Networks;LH;VisCent;ExStr22;-32;-88;10
27;17Networks;LH;VisCent;ExStr23;-8;-100;10
28;17Networks;LH;VisCent;ExStr24;-18;-98;18
29;17Networks;LH;VisCent;ExStr25;-26;-90;20
30;17Networks;LH;VisCent;ExStr26;-34;-90;20
31;17Networks;LH;VisCent;ExStr27;-10;-96;26
32;17Networks;LH;VisCent;ExStr28;-18;-90;24
33;17Networks;LH;VisCent;ExStr29;-28;-82;20
34;17Networks;LH;VisCent;ExStr30;-24;-82;30
35;17Networks;LH;VisPeri;StriCal1;-8;-62;2
36;17Networks;LH;VisPeri;StriCal2;-4;-80;2
37;17Networks;LH;VisPeri;StriCal3;-4;-68;6
38;17Networks;LH;VisPeri;StriCal4;-6;-88;2
39;17Networks;LH;VisPeri;StriCal5;-16;-68;4
40;17Networks;LH;VisPeri;StriCal6;-12;-76;8
41;17Networks;LH;VisPeri;StriCal7;-6;-82;10
42;17Networks;LH;VisPeri;StriCal8;-2;-94;4
43;17Networks;LH;VisPeri;StriCal9;-8;-70;12
44;17Networks;LH;VisPeri;StriCal10;0;-80;12
45;17Networks;LH;VisPeri;ExStrInf1;-24;-58;-8
46;17Networks;LH;VisPeri;ExStrInf2;-22;-50;-6
47;17Networks;LH;VisPeri;ExStrInf3;-14;-70;-10
48;17Networks;LH;VisPeri;ExStrInf4;-14;-64;-6
49;17Networks;LH;VisPeri;ExStrInf5;-14;-50;-8
50;17Networks;LH;VisPeri;ExStrInf6;-6;-78;-8
51;17Networks;LH;VisPeri;ExStrInf7;-10;-62;-2
52;17Networks;LH;VisPeri;ExStrInf8;-6;-70;-2
53;17Networks;LH;VisPeri;ExStrInf9;-14;-42;-4
54;17Networks;LH;VisPeri;ExStrInf10;-16;-56;0
